First name,Last name,C#,Student Password,Degree
Nicholas,Current,C00166171,Gp158WAm0b,AS
Dolores,Lindholm,C00829632,5IDnOdc4b8,AS
Beau,Adrian,C00653258,C41DS696L7,AA
Trisha,Burnette,C00773493,mxLpQ224yt,AS
Lorna,Zuniga,C00717612,e9FZ1wUVlC,AA
Roger,Hood,C00613479,d8fNYv42D0,AA
Jonathan,Dubuque,C00343453,Z3ST6IaXqH,AA
Yoshiko,Puckett,C00482452,8z200T1SaI,AS
Lynn,Schaff,C00766233,w8xlGejkcC,AA
Amy,Allen,C00755151,xSLivuG5IP,AS
Irma,Corbett,C00219736,dNXR1yHnG5,AA
Lila,Williams,C00118731,Yseu522C5o,AA
Maureen,Lawing,C00791874,2hMqBgNj2t,AS
Larry,Knight,C00108891,9eB6v38Wzw,AA
Roy,Blacklock,C00720136,y1nXL28cPN,AS
Mary,Simmons,C00443660,rR2BImWS0X,AA
Edwin,Thompson,C00277936,v6BIQ2GVR9,AA
Angela,Bukhari,C00917405,0rnPf0jWs1,AA
Dorothy,Cottrell,C00496402,j8CkIULo65,AS
Corey,Adelson,C00112982,bl0ofyE1uh,AS
Manuel,Reed,C00986065,n3WLG9OmAP,AS
James,Boulanger,C00409905,O5Y9Zi466h,AS
Lewis,Dizon,C00669284,8THxANzFUf,AS
Nigel,Avery,C00783681,RDXNfPxOMp,AS
Justin,Dobbins,C00724911,lFCc8ZjI3U,AA
Jesse,Alvarez,C00930664,T18tm2Pjwl,AA
Elmer,Obrien,C00212068,3LqAseO6wt,AS
John,Mannon,C00359308,Gi53946bY1,AS
Christopher,Williams,C00777839,1chTrq5HJz,AS
Howard,Porter,C00107839,w5O24CE71R,AS
Francis,Leonard,C00740979,JCgj3VuANt,AS
Donna,Arriola,C00587354,kp3WwtG2B8,AA
Lillie,Corliss,C00464884,X3vf5lGmIV,AA
Galen,Martel,C00791762,k4EW3YvP8i,AS
Michael,Slade,C00528052,pLJFWay4cb,AA
Kimberly,Chapman,C00668683,zING5vT012,AA
Nicholas,Carson,C00397844,ndpbLrj2VK,AS
Carmen,Patton,C00654060,Pap45SNZRY,AS
Sean,Brock,C00313818,9aJ3z70NvC,AA
Shannon,Maclean,C00707487,2ZRi1FLc0U,AA
Marianne,Miyashiro,C00904780,jbSH0Mt76F,AA
Wendy,Harper,C00203420,2iT84cv2uS,AA
Laurie,Elliott,C00419188,A59EQIijVD,AA
Mark,Addington,C00954592,9ITDYZw9H3,AS
Christopher,Mahan,C00356090,dZO3FIyjv6,AS
Aaron,Arnold,C00652171,ur84UNZEoT,AA
Elizabeth,Murray,C00436980,1mxfhcBe9T,AS
Jessie,Greene,C00743030,wmCZD15Wv0,AA
Franklin,Rosa,C00708102,XB5HQ1o8kc,AA
Alfredo,Obrien,C00501758,KzZutdbXs4,AA
